Date,Time,Age,Clutch,Test,Nontest,setupH,playbackH,tactileH,hypoxiaH,PropH,SUM of trait values,Indiv,Hcontext,HorNH,AmpR,Rsq,AmpL,Rsq,AverageR2,AverageAmp,Notes,outlier
,,,,,,,,,,0.701754386,7,2,1,1,51.48662023,0.932679449,45.7141177,0.943079515,0.937879482,23.32599859,,
,,,,,,,,,,0.701754386,7,3,1,1,51.29055558,0.97547423,48.86904411,0.957473413,0.966473822,24.91775897,,
,,,,,,,,,,0.701754386,7,4,2,0,41.98740394,0.96292151,45.32896634,0.969958347,0.966439929,23.14770313,,
,,,,,,,,,,0.701754386,6,5,2,0,42.94062844,0.950586004,36.30541841,0.904894957,0.927740481,18.61657945,,
,,,,,,,,,,0.701754386,7,6,3,0,42.12234685,0.942924437,38.87201493,0.928687004,0.935805721,19.90391033,,
20150711,9:43PM,,140,30,0,0,26,4,0,0.866666667,7,1,1,1,37.88708757,0.958131921,33.19461565,0.935038583,0.946585252,17.07060045,,
,,,,,,,,,,0.866666667,7,2,1,1,42.03688159,0.908142877,38.29083561,0.928947914,0.918545396,19.6046905,,
,,,,,,,,,,0.866666667,7,3,1,1,40.197146,0.964880785,35.28383023,0.872217404,0.918549095,18.10118966,,
,,,,,,,,,,0.866666667,7,4,2,0,25.00748755,0.822943906,40.9701549,0.931194128,0.877069017,20.92361196,,
,,,,,,,,,,0.866666667,7,5,2,0,31.75858236,0.940194794,47.02988442,0.956541777,0.948368286,23.98912635,,
,,,,,,,,,,0.866666667,6,6,2,0,36.80254685,0.918780268,37.36529687,0.934492875,0.926636572,19.14596672,,
20150712,5:37AM,,132,36,0,0,0,5,31,0,6,1,3,0,21.07672113,0.806051736,29.52840041,0.829770597,0.817911167,15.17315579,,
,,,,,,,,,,0,5,2,3,0,24.24756321,0.891751039,15.89396839,0.744485085,0.818118062,8.356043226,,
,,,,,,,,,,0,6,3,3,0,20.07049768,0.920443829,27.14293793,0.925373787,0.922908808,14.03292337,didn't need to measure VOR on this proportion hatched,outlier
20150721,5:15PM,,200,40,1,0,0,0,40,0,3,1,3,0,5.686956654,0.388218211,4.510243867,0.209473936,0.298846074,2.40454497,,
,,,,,,,,,,0,3,2,3,0,2.509447046,0.234937966,3.045417164,0.134216319,0.184577143,1.614997153,,
,,,,,,,,,,0,3,3,3,0,2.896170242,0.149207879,3.768855751,0.192958773,0.171083326,1.969969539,,
20150721,5:49PM,,201,54,4,0,0,0,54,0,2,1,3,0,3.675306212,0.335566106,3.712376274,0.320312779,0.327939443,2.020157858,dropped,
,,,,,,,,,,0,2,2,3,0,3.302243345,0.301158132,3.379927,0.205354971,0.253256552,1.816591776,,
,,,,,,,,,,0,3,3,3,0,7.731418548,0.462324658,6.964994282,0.513988821,0.48815674,3.726575511,,
20150721,6:22PM,,202,49,5,0,0,0,49,0,1,1,3,0,3.302243345,0.301158132,3.379927,0.205354971,0.253256552,1.816591776,,
