Order,Date,Stimulus,Clutch,Age Block,Age Days,Time Block,Individual,Stimulus Time,End Stimulus Time,Stimulus Hour,Stimulus Min,Stimulus Time,Response,Number Hatched of 2,Hour Hatched,Minute Hatched,Time Hatched,Latency to Hatch in Hours,Latency to Hatch in Minutes,Age Hatched,Time of First Hatch,Hours Since First Hatch,Amplitude Right Eye,R2 for Right Eye ,Amplitude for Left Eye,R2 for Left Eye,Average R2 Value,Average Amplitude,Degrees off center in Right,Degrees off center in Left,Total Degrees off center,Tadpole Length,Developmental Stage,Mean Length,Mean Stage
114,20150812,T,262,87,3,15,2,,,15,34,15.57,0,NA,15,40,15.66666667,0.096666667,5.80000002,75.66666667,96.36666667,-9.36666667,5.860070984,0.288962162,3.945863917,0.001212406,0.145087284,4.90296745,-7.85E+00,1.09E+01,-18.74366219,9.086,3,,
115,20150812,H,262,90,3,18,9,18:05_18:07,NA,18,5,18.08,1,2,18,29,18.48,0.4,24,90.48333333,96.36666667,-6.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.106,3,9.8285,3
116,20150812,H,262,90,3,18,10,18:05_18:07,NA,18,5,18.08,1,NA,18,29,18.48,0.4,24,90.48333333,96.36666667,-6.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.551,3,,
117,20150812,T,262,90,3,18,3,,,18,24,18.4,0,0,NA,NA,NA,NA,NA,NA,96.36666667,-6.36666667,1.998579475,0.088009511,3.543916517,0.126480586,0.107245048,2.771247996,-7.21E+00,8.92E+00,-16.12942042,9.456,3,9.3485,3
118,20150812,T,262,90,3,18,4,,,18,24,18.4,0,NA,NA,NA,NA,NA,NA,NA,96.36666667,-6.36666667,11.55336798,0.666149678,15.75267002,0.551880425,0.609015052,13.653019,-4.41E+00,5.46E+00,-9.86368802,9.241,3,,
119,20150812,T,262,93,3,21,5,,,21,30,21.5,0,0,NA,NA,NA,NA,NA,NA,96.36666667,-3.36666667,9.278692887,0.830851485,14.11881368,0.773894583,0.802373034,11.69875328,-9.86E+00,1.11E+00,-10.9676856,9.566,4,9.5985,4
120,20150812,T,262,93,3,21,6,,,21,30,21.5,0,NA,NA,NA,NA,NA,NA,NA,96.36666667,-3.36666667,3.502131608,0.413339065,3.625275393,0.425452098,0.419395582,3.563703501,-1.59E+01,1.12E+00,-17.03953277,9.631,4,,
121,20150812,T,262,96,4,0,7,,,0,18,0.3,1,1,0,22,0.37,0.07,4.2,96.36666667,96.36666667,-0.36666667,12.33560074,0.642782873,15.12982549,0.754742237,0.698762555,13.73271311,-1.68E+00,1.18E+00,-2.86042519,10.024,5,9.912,5.5
122,20150812,T,262,96,4,0,8,,,0,18,0.3,0,1,NA,NA,NA,NA,NA,NA,96.36666667,-0.36666667,9.112119039,0.774503025,10.65070342,0.573796919,0.674149972,9.881411229,-3.16E+00,5.47E+00,-8.62259129,9.8,6,,
123,20150812,T,262,99,4,3,9,,,3,24,3.4,1,2,3,25,3.42,0.02,1.2,99.41666667,96.36666667,2.63333333,18.57895981,0.8739562,26.85309785,0.735771725,0.804863962,22.71602883,-4.76E+00,6.32E+00,-11.08091578,10.038,6,9.9975,6
124,20150812,T,262,99,4,3,10,,,3,24,3.4,1,NA,3,25,3.42,0.02,1.2,99.41666667,96.36666667,2.63333333,26.76047078,0.64653011,33.207724,0.724629993,0.685580052,29.98409739,-3.32E-01,-3.32E-01,-0.000213502,9.957,6,,
125,20150812,T,262,102,4,6,11,,,6,8,6.133333333,1,1,6,9,6.15,0.016666667,1.00000002,102.15,96.36666667,5.63333333,35.97353605,0.948171859,31.57179194,0.895483726,0.921827793,33.772664,-9.86E-01,-1.52E+00,0.535937087,10.423,6,9.682,6
126,20150812,T,262,102,4,6,12,,,6,8,6.133333333,0,1,NA,NA,NA,NA,NA,NA,96.36666667,5.63333333,22.52894003,0.87456928,23.57976014,0.636629996,0.755599638,23.05435009,-3.93E+00,2.73E+00,-6.65430044,8.941,6,,
127,20150812,T,262,105,4,9,13,,,9,3,9.05,1,1,9,3,9.05,0,0,105.05,96.36666667,8.63333333,30.57305697,0.843445353,28.03715692,0.763264312,0.803354833,29.30510695,-9.84E-01,4.82E+00,-5.804185577,10.411,6,10.225,6
128,20150812,T,262,105,4,9,14,,,9,3,9.05,0,1,NA,NA,NA,NA,NA,NA,96.36666667,8.63333333,36.50349175,0.959493566,29.08190567,0.843888081,0.901690824,32.79269871,4.63E+00,1.62E+00,3.01020468,10.039,6,,
129,20150812,T,262,108,4,12,15,,,12,0,12,0,1,NA,NA,NA,NA,NA,NA,96.36666667,11.63333333,20.85253202,0.839244461,21.29559946,0.848775765,0.844010113,21.07406574,-4.29E+00,4.42E+00,-8.71760273,10.462,6,10.639,6.5
130,20150812,T,262,108,4,12,16,,,12,0,12,1,1,12,2,12.03,0.03,1.8,108.0333333,96.36666667,11.63333333,39.82321427,NA,30.0794174,NA,NA,34.95131583,-4.85E+00,5.14E+00,-9.99068171,10.816,7,,
131,20150812,T,262,111,4,15,17,,,15,0,15,1,2,15,2,15.03,0.03,1.8,111.0333333,96.36666667,14.63333333,32.64634047,0.942057454,32.09908126,0.913363693,0.927710573,32.37271086,1.70E+00,-4.55E+00,6.24449415,10.959,7,10.783,7
132,20150812,T,262,111,4,15,18,,,15,0,15,1,NA,15,0,15,0,0,111,96.36666667,14.63333333,36.6804369,0.977060408,41.34923714,0.959347115,0.968203761,39.01483702,-3.09E-01,-4.10E+00,3.790411788,10.607,7,,
133,20150812,H,263,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,0,0,NA,NA,NA,NA,NA,NA,93.23333333,-15.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.426,2,8.4645,2
134,20150812,H,263,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,0,NA,NA,NA,NA,NA,NA,NA,93.23333333,-15.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.503,2,,
135,20150812,H,263,81,3,9,3,9:00_9:02,9:40_,9,0,9,0,1,NA,NA,NA,NA,NA,NA,93.23333333,-12.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.501,2,8.4835,2
136,20150812,H,263,81,3,9,4,9:00_9:02,9:40_,9,0,9,1,1,9,23,9.38,0.38,22.8,81.38333333,93.23333333,-12.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.466,2,,
137,20150812,H,263,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,0,0,NA,NA,NA,NA,NA,NA,93.23333333,-9.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12,2,9.042,2
138,20150812,H,263,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,0,NA,NA,NA,NA,NA,NA,NA,93.23333333,-9.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.964,2,,
141,20150812,H,263,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,0,1,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.443,2,9.2955,2
142,20150812,H,263,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,1,1,15,22,15.37,0.34,20.4,87.36666667,93.23333333,-6.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.148,2,,
139,20150812,T,263,87,3,15,1,,,15,20,15.33,0,0,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,6.635493085,0.301787015,4.790445571,0.337962103,0.319874559,5.712969328,-1.09E+01,4.00E+00,-14.89090283,8.953,3,9.045,3
140,20150812,T,263,87,3,15,2,,,15,20,15.33,0,NA,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,3.843034189,0.136372864,1.923940785,-0.083948991,0.026211937,2.883487487,-6.61E+00,7.54E+00,-14.15837677,9.137,3,,
145,20150812,H,263,90,3,18,9,18:05_18:07,NA,18,5,18.08,1,2,18,24,18.4,0.32,19.2,90.4,93.23333333,-3.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.059,4,9.8345,4
146,20150812,H,263,90,3,18,10,18:05_18:07,NA,18,5,18.08,1,NA,18,28,18.47,0.39,23.4,90.46666667,93.23333333,-3.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.61,4,,
143,20150812,T,263,90,3,18,3,,,18,13,18.22,0,0,NA,NA,NA,NA,NA,NA,93.23333333,-3.23333333,0.754114497,0.013999211,2.990033508,0.132703055,0.073351133,1.872074003,-5.55E+00,1.45E+00,-7.00085012,8.767,4,9.239,4
144,20150812,T,263,90,3,18,4,,,18,13,18.22,0,NA,NA,NA,NA,NA,NA,NA,93.23333333,-3.23333333,2.279971008,0.19624222,3.439083433,0.038912978,0.117577599,2.859527221,-2.26E+00,2.53E+00,-4.78774664,9.711,4,,
149,20150812,H,263,93,3,21,11,20:58_21:00,NA,20,58,20.97,1,2,21,11,21.18,0.21,12.6,93.18333333,93.23333333,-0.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.718,4,9.7835,4
150,20150812,H,263,93,3,21,12,20:58_21:00,NA,20,58,20.97,1,NA,21,21,21.35,0.38,22.8,93.35,93.23333333,-0.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.849,4,,
147,20150812,T,263,93,3,21,5,,,21,12,21.2,1,1,21,14,21.23,0.03,1.8,93.23333333,93.23333333,-0.23333333,3.920429591,0.605355933,8.066933823,0.61001011,0.607683022,5.993681707,2.88E+00,3.20E+00,-0.32298428,10.177,6,9.8965,6
148,20150812,T,263,93,3,21,6,,,21,12,21.2,0,1,NA,NA,NA,NA,NA,NA,93.23333333,-0.23333333,8.784231634,0.607928407,5.736929965,0.434144035,0.521036221,7.260580799,-2.63E+00,9.29E-01,-3.555237497,9.616,6,,
151,20150812,T,263,96,4,0,7,,,0,9,0.15,1,2,0,10,0.17,0.02,1.2,96.16666667,93.23333333,2.76666667,24.51542061,0.868956361,24.89359622,0.934137335,0.901546848,24.70450842,-3.48E+00,-9.45E-01,-2.532982599,10.112,6,10.2075,6
152,20150812,T,263,96,4,0,8,,,0,9,0.15,1,NA,0,13,0.22,0.07,4.2,96.21666667,93.23333333,2.76666667,9.384005531,0.814416137,7.778282937,0.676747711,0.745581924,8.581144234,-1.25E+00,4.10E-01,-1.6625244,10.303,6,,
153,20150813,T,263,99,4,3,9,,,3,13,3.22,0,1,NA,NA,NA,NA,NA,NA,93.23333333,5.76666667,23.23094299,0.948614854,11.30134718,0.613028516,0.780821685,17.26614509,1.24E+00,4.20E+00,-2.95833051,10.111,6,10.3515,6
154,20150813,T,263,99,4,3,10,,,3,13,3.22,1,1,3,15,3.25,0.03,1.8,99.25,93.23333333,5.76666667,15.71814753,0.853993192,13.30948947,0.838470123,0.846231657,14.5138185,2.28E+00,-1.48E+00,3.75517126,10.592,6,,
155,20150813,T,263,102,4,6,11,,,6,1,6.016666667,1,2,6,1,6.016666667,0,0,108.016667,93.23333333,8.76666667,20.21106323,0.880467314,20.25691872,0.848524408,0.864495861,20.23399098,-2.91E+00,-2.12E+00,-0.7986008,10.968,6,10.999,6
156,20150813,T,263,102,4,6,12,,,6,1,6.016666667,1,NA,6,1,6.016666667,0,0,108.016667,93.23333333,8.76666667,24.30366658,0.917267729,27.32099403,0.912333199,0.914800464,25.81233031,-1.64E+00,4.81E+00,-6.45562068,11.03,6,,
157,20150812,H,264,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,1,1,6,21,6.35,0.28,16.8,78.35,84.07,-6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.863,1,8.0575,1
158,20150812,H,264,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,0,1,NA,NA,NA,NA,NA,NA,84.07,-6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.252,1,,
159,20150812,H,264,81,3,9,3,9:00_9:02,9:40_,9,0,9,0,1,NA,NA,NA,NA,NA,NA,84.07,-3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.219,2,8.3345,2
160,20150812,H,264,81,3,9,4,9:00_9:02,9:40_,9,0,9,1,1,9,16,9.27,0.27,16.2,81.26666667,84.07,-3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,2,,
161,20150812,T,264,81,3,9,1,,,9,20,9.333333333,0,0,NA,NA,NA,NA,NA,NA,84.07,-3.07,2.889207456,0.058627875,3.480394217,-0.030241335,0.01419327,3.184800837,-9.32E+00,1.88E+00,-1.12E+01,NA,2,8.3345,2
162,20150812,T,264,81,3,9,2,,,9,20,9.333333333,0,NA,NA,NA,NA,NA,NA,NA,84.07,-3.07,3.517668892,0.168256438,2.539229569,-0.042413098,0.06292167,3.02844923,-5.56E+00,2.46E+00,-8.01E+00,NA,2,,
163,20150812,H,264,84,3,12,5,11:55_11:57,12:35_,11,55,11.91666667,1,1,12,13,12.22,0.3,18,84.21666667,84.07,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.015,2,9.001,2
164,20150812,H,264,84,3,12,6,11:55_11:57,12:35_,11,55,11.91666667,0,1,NA,NA,NA,NA,NA,NA,84.07,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.987,2,,
165,20150812,T,264,84,3,12,3,,,11,59,11.98333333,1,1,12,3,12.05,0.066666667,4.00000002,84.06666667,84.07,-0.07,3.022394121,0.236518515,4.644563079,0.341688166,0.289103341,3.8334786,-5.49E+00,5.78E+00,-1.13E+01,8.852,3,8.397,2.5
166,20150812,T,264,84,3,12,4,,,11,59,11.98333333,0,1,NA,NA,NA,NA,NA,NA,84.07,-0.07,2.97619808,0.153117863,3.208851755,0.056538341,0.104828102,3.092524917,-3.19E+00,7.23E+00,-1.04E+01,7.942,2,,
169,20150812,H,264,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,1,2,15,15,15.25,0.22,13.2,87.25,84.07,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.189,3,9.256,3
170,20150812,H,264,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,1,NA,15,20,15.33,0.3,18,87.33333333,84.07,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.323,3,,
167,20150812,T,264,87,3,15,5,,,15,3,15.05,0,0,NA,NA,NA,NA,NA,NA,84.07,2.93,2.889207456,0.058627875,3.480394217,-0.030241335,0.01419327,3.184800837,-9.32E+00,1.88E+00,-11.20031182,8.805,3,8.8445,2.5
168,20150812,T,264,87,3,15,6,,,15,3,15.05,0,NA,NA,NA,NA,NA,NA,NA,84.07,2.93,3.517668892,0.168256438,2.539229569,-0.042413098,0.06292167,3.02844923,-5.56E+00,2.46E+00,-8.01187828,8.884,2,,
173,20150812,H,264,90,3,18,9,18:05_18:07,NA,18,5,18.08,1,2,18,24,18.4,0.32,19.2,90.4,84.07,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.681,3,9.4565,3
174,20150812,H,264,90,3,18,10,18:05_18:07,NA,18,5,18.08,1,NA,18,18,18.3,0.22,13.2,90.3,84.07,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.232,3,,
171,20150812,T,264,90,3,18,7,,,18,2,18.03,1,1,18,6,18.1,0.07,4.2,90.1,84.07,5.93,4.597441572,0.165077686,5.987898907,0.32626604,0.245671863,5.29267024,-4.27E+00,6.69E+00,-10.96521002,9.465,3,9.232,3
172,20150812,T,264,90,3,18,8,,,18,2,18.03,0,1,NA,NA,NA,NA,NA,NA,84.07,5.93,2.97619808,0.153117863,3.208851755,0.056538341,0.104828102,3.092524917,-3.19E+00,7.23E+00,-10.41740949,8.999,3,,
175,20150812,T,264,93,3,21,9,,,21,0,21,0,0,NA,NA,NA,NA,NA,NA,84.07,8.93,2.631982757,0.139082957,4.834218975,0.392679119,0.265881038,3.733100866,-4.57E+00,2.79E+00,-7.35575427,9.844,3,9.8235,4
176,20150812,T,264,93,3,21,10,,,21,0,21,0,NA,NA,NA,NA,NA,NA,NA,84.07,8.93,6.554218313,0.187334192,3.988154902,-0.04895583,0.069189181,5.271186608,-5.74E+00,2.29E+00,-8.03235374,9.803,5,,
177,20150813,T,264,96,4,0,11,,,0,0,0,1,2,0,3,0.05,0.05,3,96.05,84.07,11.93,10.9854987,0.51790931,13.43423739,0.752849034,0.635379172,12.20986805,-2.78E-01,1.46E+00,-1.732826105,9.876,5,9.904,5.5
178,20150813,T,264,96,4,0,12,,,0,0,0,1,NA,0,3,0.05,0.05,3,96.05,84.07,11.93,10.9854987,0.51790931,13.43423739,0.752849034,0.635379172,12.20986805,-2.78E-01,1.46E+00,-1.732826105,9.932,6,,
179,20150813,T,264,99,4,3,13,,,3,2,3.033333333,1,2,3,4,3.066666667,0.033333334,2.00000004,102.0666667,84.07,14.93,20.66037599,0.878359197,21.04260875,0.721709664,0.80003443,20.85149237,-3.31E+00,4.42E+00,-7.73149659,10.535,6,10.368,6
180,20150813,T,264,99,4,3,14,,,3,2,3.033333333,1,NA,3,3,3.05,0.016666667,1.00000002,102.05,84.07,14.93,26.92349066,0.655277563,32.69077568,0.66867578,0.661976672,29.80713317,-7.15E-01,6.86E-01,-1.400200646,10.201,6,,
181,20150812,H,265,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,0,0,NA,NA,NA,NA,NA,NA,90.63333333,-12.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.659,1,7.6325,1
182,20150812,H,265,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,0,NA,NA,NA,NA,NA,NA,NA,90.63333333,-12.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.606,1,,
183,20150812,H,265,81,3,9,3,9:00_9:02,9:40_,9,0,9,0,0,NA,NA,NA,NA,NA,NA,90.63333333,-9.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.491,2,8.3345,2
184,20150812,H,265,81,3,9,4,9:00_9:02,9:40_,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,90.63333333,-9.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.178,2,,
185,20150812,H,265,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,0,0,NA,NA,NA,NA,NA,NA,90.63333333,-6.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.971,2,8.976,2
186,20150812,H,265,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,0,NA,NA,NA,NA,NA,NA,NA,90.63333333,-6.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.981,2,,
187,20150812,H,265,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,1,2,15,26,15.43,0.4,24,87.43333333,90.63333333,-3.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.112,2,9.2,2.5
188,20150812,H,265,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,1,NA,15,36,15.6,0.57,34.2,87.6,90.63333333,-3.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.288,3,,
189,20150812,T,265,87,3,15,1,,,15,51,15.85,0,0,NA,NA,NA,NA,NA,NA,90.63333333,-3.63333333,15.57811221,NA,11.16713622,NA,NA,13.37262422,-6.97E+00,7.65E+00,-14.62829714,NA,3,9.2,3
190,20150812,T,265,87,3,15,2,,,15,51,15.85,0,NA,NA,NA,NA,NA,NA,NA,90.63333333,-3.63333333,1.969760158,0.148691278,1.739209971,-0.054221158,0.04723506,1.854485064,-1.12E+01,4.53E+00,-15.74951932,NA,3,,
191,20150812,H,265,90,3,18,9,18:05_18:07,NA,18,5,18.08,1,2,18,25,18.42,0.34,20.4,90.41666667,90.63333333,-0.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,3,9.326,3.5
192,20150812,H,265,90,3,18,10,18:05_18:07,NA,18,5,18.08,1,NA,18,30,18.5,0.42,25.2,90.5,90.63333333,-0.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.432,4,,
193,20150812,T,265,90,3,18,3,,,18,35,18.58,1,2,18,38,18.63,0.05,3,90.63333333,90.63333333,-0.63333333,4.126323416,0.170805443,3.444854382,0.113320329,0.142062886,3.785588899,-6.29E+00,1.43E+00,-7.71730197,9.381,4,9.0165,4
194,20150812,T,265,90,3,18,4,,,18,35,18.58,1,NA,18,37,18.62,0.04,2.4,90.61666667,90.63333333,-0.63333333,2.645588216,0.163084424,4.215175275,0.075455599,0.119270012,3.430381746,-4.37E+00,8.50E+00,-12.86972323,8.652,4,,
195,20150812,T,265,93,3,21,5,,,21,47,21.78,1,1,21,48,21.8,0.02,1.2,93.8,90.63333333,2.36666667,2.839533632,0.054750176,9.20978217,0.192414413,0.123582294,6.024657901,-2.79E+00,1.11E+01,-13.84431088,8.918,4,9.3035,4
196,20150812,T,265,93,3,21,6,,,21,47,21.78,0,1,NA,NA,NA,NA,NA,NA,90.63333333,2.36666667,11.42218476,0.725257415,13.76574519,0.822523247,0.773890331,12.59396498,-1.99E+00,4.06E+00,-6.04590976,9.689,4,,
197,20150813,T,265,96,4,0,7,,,0,29,0.48,1,2,0,30,0.5,0.02,1.2,96.5,90.63333333,5.36666667,27.61407894,0.937391128,20.96890899,0.885787296,0.911589212,24.29149397,3.41E-01,-1.82E+00,2.161204681,9.653,6,9.725,6
198,20150813,T,265,96,4,0,8,,,0,29,0.48,1,NA,0,32,0.53,0.05,3,96.53333333,90.63333333,5.36666667,16.35284005,0.946080401,15.745815,0.781112461,0.863596431,16.04932753,-5.70E+00,6.27E+00,-11.97446349,9.797,6,,
199,20150812,H,266,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,0,0,NA,NA,NA,NA,NA,NA,96.73333333,-18.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.827,1,7.661,1
200,20150812,H,266,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,0,NA,NA,NA,NA,NA,NA,NA,96.73333333,-18.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.495,1,,
201,20150812,H,266,81,3,9,3,9:00_9:02,9:40_,9,0,9,0,0,NA,NA,NA,NA,NA,NA,96.73333333,-15.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.902,2,7.9975,2
202,20150812,H,266,81,3,9,4,9:00_9:02,9:40_,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,96.73333333,-15.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.093,2,,
203,20150812,H,266,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,0,0,NA,NA,NA,NA,NA,NA,96.73333333,-12.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.271,2,8.2715,2
204,20150812,H,266,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,0,NA,NA,NA,NA,NA,NA,NA,96.73333333,-12.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.272,2,,
205,20150812,H,266,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,1,2,15,36,15.6,0.57,34.2,87.6,96.73333333,-9.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.115,2,9.086,2
206,20150812,H,266,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,1,NA,15,23,15.38,0.35,21,87.38333333,96.73333333,-9.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.057,2,,
207,20150812,H,266,90,3,18,9,18:05_18:07,NA,18,5,18.08,1,2,18,26,18.43,0.35,21,90.43333333,96.73333333,-6.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.118,3,9.199,3
208,20150812,H,266,90,3,18,10,18:05_18:07,NA,18,5,18.08,1,NA,18,25,18.42,0.34,20.4,90.41666667,96.73333333,-6.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28,3,,
209,20150812,T,266,90,3,18,1,,,18,56,18.93,0,0,NA,NA,NA,NA,NA,NA,96.73333333,-6.73333333,3.067758313,0.170795452,2.469602377,0.00074216,0.085768806,2.768680345,-5.91E+00,8.48E+00,-14.3925573,9.093,3,8.6825,3.5
210,20150812,T,266,90,3,18,2,,,18,56,18.93,0,NA,NA,NA,NA,NA,NA,NA,96.73333333,-6.73333333,1.98810602,0.134575859,4.533118868,0.335385856,0.234980857,3.260612444,-7.21E+00,5.95E+00,-13.15623574,8.272,4,,
211,20150812,T,266,93,3,21,3,,,21,59,21.98,0,0,NA,NA,NA,NA,NA,NA,96.73333333,-3.73333333,5.994170778,0.348400916,4.124883797,0.197541635,0.272971275,5.059527288,-6.18E+00,7.05E+00,-13.22068035,8.981,4,9.221,4
212,20150812,T,266,93,3,21,4,,,21,59,21.98,0,NA,NA,NA,NA,NA,NA,NA,96.73333333,-3.73333333,7.861394142,0.506339422,7.080985022,0.338713302,0.422526362,7.471189582,-7.53E+00,9.21E+00,-16.73900533,9.461,4,,
213,20150813,T,266,96,4,0,5,,,0,43,0.72,1,1,0,44,0.73,0.01,0.6,96.73333333,96.73333333,-0.73333333,11.37950045,0.812941411,14.60265079,0.794171112,0.803556261,12.99107562,-6.60E+00,7.12E+00,-13.7247989,9.206,5,9.204,5
214,20150813,T,266,96,4,0,6,,,0,43,0.72,0,1,NA,NA,NA,NA,NA,NA,96.73333333,-0.73333333,8.957290981,0.823960863,10.66447911,0.828228163,0.826094513,9.810885047,-7.75E+00,7.35E+00,-15.10196209,9.202,5,,
215,20150813,T,266,99,4,3,7,,,3,31,3.52,1,2,3,33,3.55,0.03,1.8,99.55,96.73333333,2.26666667,32.86357918,0.953988514,28.52371011,0.950611908,0.952300211,30.69364464,-1.38E+00,-1.73E+00,0.35046103,10.104,6,9.932,6
216,20150813,T,266,99,4,3,8,,,3,31,3.52,1,NA,3,34,3.57,0.05,3,99.56666667,96.73333333,2.26666667,26.5045797,0.929595555,26.59728942,0.913335379,0.921465467,26.55093456,-1.82E+00,3.70E+00,-5.52253644,9.76,6,,
217,20150813,T,266,102,4,6,9,,,6,21,6.35,0,1,NA,NA,NA,NA,NA,NA,96.73333333,5.26666667,9.078599219,0.634592034,7.522179498,0.479242742,0.556917388,8.300389358,-6.98E+00,1.91E+00,-8.88829658,9.678,6,9.807,6
218,20150813,T,266,102,4,6,10,,,6,21,6.35,1,1,6,24,6.4,0.05,3,102.4,96.73333333,5.26666667,26.98149318,0.926185563,23.75078985,0.911244329,0.918714946,25.36614152,-3.35E+00,3.55E-01,-3.704087233,9.936,6,,
219,20150813,T,266,105,4,9,11,,,9,17,9.28,1,2,9,17,9.28,0,0,105.2833333,96.73333333,8.26666667,28.34647993,0.912890495,39.18168765,0.951407247,0.932148871,33.76408379,-2.47E-01,7.21E-01,-0.968055263,10.418,6,10.4335,6
220,20150813,T,266,105,4,9,12,,,9,17,9.28,1,NA,9,17,9.28,0,0,105.2833333,96.73333333,8.26666667,37.45720124,0.95222924,34.54966858,0.958659506,0.955444373,36.00343491,-1.48E+00,6.64E-01,-2.140608663,10.449,6,,
